methods dice iou
whole-default 96.91 95.09
whole-All 95.68 92.37
whole-None 94.10 93.98
one-B 94.44	94.33
one-CJ 96.58 94.62
one-CO 91.68 94.59
one-RG 87.67 84.08
two-B/CJ 96.85 95.19
two-B/CO 95.61 94.67
two-B/RG 84.45 71.60
two-CJ/CO 97.22	95.07
two-CJ/RG 82.86	75.06
two-CO/RG 92.84	92.90
three-B/CJ/CO 97.32	95.19
three-B/CJ/RG 79.19	75.65
three-B/CO/RG 90.41	92.50
three-CJ/CO/RG 96.31 92.83
